K,R_final,R_mean,metastability,H_mode,PR,R,S_dot,kappa,C
0.0,0.06197030027580053,0.04139083515428193,0.015946096563725257,0.9980692026369827,0.9754887499191887,0.06012298916902907,0.9999999851238406,0.7044177166883471,0.7476197287074776
0.20833333333333334,0.06175186268893552,0.041282091367054505,0.015909384170384285,0.7878541599302799,0.1821432319379327,0.10889830876666157,0.9995823562334643,0.45707116297914124,0.507109843969496
0.4166666666666667,0.06152482947346593,0.041180878406078564,0.015848227038667458,0.6629995881730372,0.0866740761822458,0.20588371131976171,0.9862547922952642,0.4029443476339328,0.4689513031208484
0.625,0.06129321193840804,0.0410869210682285,0.015766071803581572,0.5918303531284212,0.057752014953908734,0.26783063112547983,0.9728420293998872,0.3768274080621634,0.45341648733397205
0.8333333333333334,0.06106142007628266,0.040997076735711076,0.01567389778314812,0.5430212132123766,0.04394082299023631,0.31060874186395054,0.9566614125920596,0.3591116104243186,0.44266876021658835
1.0416666666666667,0.06083409811776825,0.04091050701260419,0.015576751733918513,0.5063013394312645,0.03581387515831438,0.34366080397861914,0.9620615179708063,0.34526556883148335,0.4386206210740976
1.25,0.060615936197397836,0.04082676087829349,0.015478715870433623,0.47703505898831194,0.03042075501117896,0.3715536396900236,0.9377246367904805,0.3336024485442155,0.4300673078048421
1.4583333333333335,0.06041144234641921,0.040745615020272866,0.015383263261453395,0.45275831648200976,0.026555037448056092,0.3964923437905268,0.9522564082918026,0.32333259251498103,0.43027893970547526
1.6666666666666667,0.06022470667116571,0.04066699185410064,0.0152934163550343,0.4320242642918172,0.023633780437157994,0.41955921063786267,0.931829312429421,0.314032150417572,0.42421574364276615
1.875,0.060059174229397855,0.0405909205268128,0.01521180031765721,0.4139228443019339,0.021340556948778597,0.44129428416187705,0.913923941996091,0.3054513573251702,0.41918659694677013
2.0833333333333335,0.059917435558689135,0.04051752435900099,0.015140659467996129,0.39785092804695527,0.01948814396409142,0.4619736765334289,0.9041218457806599,0.2974323699746983,0.4161733928599668
2.291666666666667,0.059801063429247514,0.04044701261897809,0.015081855773527287,0.38339151895558904,0.017958177378958988,0.48174552041133867,0.8938602957039699,0.2898697094239897,0.41336504437476923
2.5,0.05971049702588218,0.0403796836900034,0.015036871476349786,0.37024583465465605,0.016671821978701085,0.5006964551419238,0.9251005866939948,0.28268953689129744,0.4190808470721146
2.7083333333333335,0.05964499182488247,0.040315932734082696,0.015006820064072262,0.3581930855766684,0.015574334336134588,0.5188837554896306,0.9403894731494309,0.2758380695283741,0.42177574361604775
2.916666666666667,0.05960263270608363,0.04025626451911394,0.01499246103535572,0.3470656351436224,0.01462639279580496,0.5363504945921228,0.9299039398639029,0.2692747619615152,0.4194442448713937
3.125,0.059580419413171076,0.04020131118028788,0.014994233867671047,0.33673311318491106,0.013798957582242857,0.5531326137047163,0.9201916360027285,0.26296811909669277,0.41736488791425835
3.3333333333333335,0.059574415454456534,0.0401518613627956,0.015012297749207806,0.3270919482282784,0.013070081369952968,0.5692619601613065,0.911443632428864,0.2568930311042058,0.41555213065852153
3.541666666666667,0.05957995344006118,0.04010888548304409,0.015046579095463346,0.3180582896414107,0.012422851636905192,0.5847677355302752,0.9037560996519107,0.25102902375112596,0.4140068000423256
3.75,0.05959190514164072,0.04007357199595939,0.015096831855450186,0.3095631109141257,0.011844018111890725,0.5996769927358621,0.89716792808543,0.2453590774380347,0.4127222254570687
3.9583333333333335,0.059604969059757366,0.04004736960493399,0.01516269174211863,0.30154875108093754,0.011323050464912627,0.6140148521763031,0.8917185629422231,0.2398688096233394,0.41169480525754315
4.166666666666667,0.05961400585670371,0.040032026768082415,0.015243737485863962,0.29396642455496663,0.010851475034484031,0.6278045841543057,0.8876402411001734,0.2345458952396862,0.4109617240167232
4.375,0.05961437361003105,0.04002962972991889,0.015339540057112683,0.286774395642349,0.010422397720694403,0.6410676075968417,0.9119732755093792,0.22937964648245954,0.41592346459034485
4.583333333333334,0.059602264407281474,0.04004263283046201,0.015449705141700715,0.2799366171476045,0.010030154221014848,0.6538234903301723,0.9054690821120528,0.2243607015417133,0.41472400907051155
4.791666666666667,0.059575006483118066,0.040073873639937974,0.015573900402305541,0.2734216981665719,0.009670049315091463,0.6660899139006219,0.8998438958223418,0.21948078927277256,0.41370126929547996
5.0,0.0595313483388874,0.04012657286248552,0.015711869905294457,0.2672021089566437,0.00933815965001482,0.677882657679154,0.8945257332991992,0.21473254780673778,0.4127362414783499
