alpha,estimated_alpha,r_squared,branching_ratio,H_mode,PR,R,S_dot,kappa,C
0.5,0.4775859711149502,0.9929486899419483,0.5577302433126441,0.9669213577982314,0.5903513639711707,0.07424304248601547,0.9999996699789642,0.612922699503544,0.6488876267475852
0.6206896551724138,0.5746896934680065,0.9836797445365332,0.5702052185581387,0.9440103940991179,0.40545275755394194,0.09421410788756845,0.9999990692321987,0.5826028551116108,0.6052558367768875
0.7413793103448276,0.6531168554404144,0.9617243846144432,0.5833860597720871,0.9149970844033317,0.26129427590750043,0.11840167421123182,0.9999980098478887,0.5519762716758251,0.5693334632091556
0.8620689655172413,0.705109619584843,0.9154012642952439,0.59624438320211,0.8823316744044093,0.1674964993022243,0.14602328812768883,0.9999959876147038,0.5234038760016665,0.5438502650901386
0.9827586206896552,0.7260498462309409,0.8336653342590712,0.6075853034918349,0.8496781634698313,0.1118639632655355,0.17548935835733967,0.99999189422565,0.4992069946487976,0.5272460747934309
1.103448275862069,0.7172056062600548,0.7176366858588171,0.6165019182762113,0.8205218347665402,0.07970146535988787,0.20476619762556625,0.9999848791062269,0.4808077086451161,0.5171564171006675
1.2241379310344827,0.6849266930529736,0.584997715146112,0.6227004077883391,0.7969473255736592,0.0608409125115707,0.232030843240255,0.9999761554969652,0.46832769826347653,0.5116245870171854
1.3448275862068966,0.6374958362244322,0.45820287640444585,0.6264676724958302,0.779372862973328,0.04940118828024488,0.25615499833563293,0.9999654410648711,0.4608633657077529,0.509151571272366
1.4655172413793105,0.582511141621945,0.3511349314483494,0.6283910947094405,0.7670730819517073,0.042170394398171454,0.2767705647056897,0.9999546495289179,0.4570868734485633,0.50861111280661
1.5862068965517242,0.5257970542292802,0.2671473483596428,0.6290818351239226,0.7588714727155745,0.03740135706704402,0.29404476359825393,0.9999655221958399,0.4557362933112436,0.5092038817775912
1.706896551724138,0.4712856214019029,0.20375023559838276,0.6290295698476661,0.7536113751600797,0.03412466809158289,0.30840384181081626,0.9999763014460419,0.4558383820179389,0.510390913705292
1.8275862068965518,0.42126083762307237,0.15673815976138783,0.6285725131456178,0.7503568210630255,0.03178644635072925,0.3203368159626933,0.9999744996262332,0.45673186501544766,0.5118372896036258
1.9482758620689655,0.376741621893903,0.12208209796719123,0.6279228043910503,0.7484235793433344,0.030059862921294363,0.3302950693702709,0.9999771932596658,0.4580041949219396,0.5133519799633011
2.0689655172413794,0.3379011329897071,0.09649011629369901,0.6272044310896071,0.7473392947019618,0.028745735466051955,0.33865697991717764,0.9999775197202909,0.45941405972292043,0.5148267179056805
2.189655172413793,0.3044193194252355,0.07745814126250143,0.626485451747278,0.7467884786441286,0.027718809322136485,0.3457255729868805,0.9999785112841839,0.4608283513249823,0.5162079447124623
2.3103448275862073,0.2757255794368731,0.06315203321420391,0.6258005541187017,0.7465645101840435,0.026897914221759446,0.3517389548514241,0.999980348814588,0.46217862371423113,0.5174720703572092
2.431034482758621,0.2511499355903827,0.052250193562399704,0.6251653796970589,0.7465338223722262,0.026228917634066203,0.3568835116401731,0.9999838356208479,0.46343351122212706,0.5186127196978881
2.5517241379310347,0.23001661417701763,0.04380537850571663,0.6245851180056214,0.7466110482274222,0.025674722621675364,0.36130587087525873,0.9999844500696673,0.46458214082828353,0.5196316465244615
2.6724137931034484,0.21170314733974285,0.03714229469369724,0.6240594772239141,0.7467423649637572,0.02520924642414088,0.36512250890116615,0.9999851237007973,0.46562449208838264,0.5205367472156489
2.793103448275862,0.19567449901762354,0.03178411249516981,0.6235854817858697,0.7468944992436789,0.024813705290363478,0.3684270547491382,0.9999858040955935,0.4665659368466242,0.5213374000450797
2.913793103448276,0.18149622817955638,0.027397657503606024,0.6231590081912644,0.7470475021230625,0.024474267540004636,0.37129570540609347,0.9999864601632119,0.46741421822249424,0.5220436306909734
3.03448275862069,0.16883180205540305,0.0237516302574563,0.6227756037203293,0.7471900009386305,0.024180536993503178,0.37379120600056776,0.999986791079249,0.46817782427562715,0.5226652718575155
3.1551724137931036,0.1574303784108323,0.020685264189992704,0.6224309043129511,0.7473160766280406,0.02392455146689479,0.37596577857708685,0.9999873540964761,0.46886514660926887,0.5232117814755535
3.2758620689655173,0.14711040801930414,0.018085508962388044,0.6221208319486975,0.7474232121606973,0.023700107545327344,0.37786329327699336,0.9999876413949671,0.46948407417719945,0.523691665711037
3.396551724137931,0.1377425591096509,0.015870892842710062,0.6218416730971454,0.7475109507364999,0.023502296275778378,0.3795208964788753,0.9999880105576531,0.4700418240680878,0.5241127956233789
3.5172413793103448,0.1292339736252568,0.013980433397230348,0.6215900948793522,0.7475800263526232,0.023327177885854356,0.3809702489062215,0.9999884304380842,0.4705448979677989,0.5244821563101164
3.637931034482759,0.12151497174035295,0.012366289518420745,0.6213631302043906,0.7476318091298871,0.023171549862483706,0.38223848165662766,0.9999888127589689,0.4709991023932712,0.5248059511602478
3.7586206896551726,0.11452878414635372,0.010989133708491642,0.6211581489069687,0.747667959675777,0.02303277884506757,0.38334894609836884,0.9999891571256734,0.47140959867621485,0.5250896880842204
3.8793103448275863,0.10822445855601791,0.0098154286912179,0.620972823968756,0.7476902210021962,0.022908676876380797,0.3843218111798258,0.9999886561500759,0.47178096433509614,0.525338065908715
4.0,0.10255267641857944,0.008815947756457982,0.6208050975026258,0.7477002995107369,0.022797408979428124,0.38517454612433133,0.9999889145002681,0.4721172562192953,0.5255556850668119
