trial,has_wave,wave_speed,mean_rotation_velocity,wave_rotation_correlation,correspondence_p_value,has_correspondence
0,False,0,2.0,0,1.0,False
1,False,0,2.0,0,1.0,False
2,False,0,2.0,0,1.0,False
3,False,0,2.0,0,1.0,False
4,False,0,2.0,0,1.0,False
5,False,0,8.0,0,1.0,False
6,False,0,2.0,0,1.0,False
7,False,0,7.0,0,1.0,False
8,False,0,10.0,0,1.0,False
9,False,0,2.0,0,1.0,False
10,False,0,4.0,0,1.0,False
11,False,0,2.0,0,1.0,False
12,False,0,2.0,0,1.0,False
13,False,0,2.0,0,1.0,False
14,False,0,2.0,0,1.0,False
15,False,0,2.0,0,1.0,False
16,False,0,2.0,0,1.0,False
17,False,0,2.0,0,1.0,False
18,False,0,2.0,0,1.0,False
19,False,0,2.0,0,1.0,False
20,False,0,2.0,0,1.0,False
21,False,0,2.0,0,1.0,False
22,False,0,2.0,0,1.0,False
23,False,0,2.0,0,1.0,False
24,False,0,4.0,0,1.0,False
25,False,0,12.0,0,1.0,False
26,False,0,2.0,0,1.0,False
27,False,0,2.0,0,1.0,False
28,False,0,2.0,0,1.0,False
29,False,0,35.0,0,1.0,False
