n_levels,branching,n_nodes,n_edges,density,avg_clustering,transitivity,avg_path_length,avg_degree,degree_std,max_degree,small_world_sigma,rich_club_max,modularity,n_communities,H_mode,PR,R,S_dot,kappa,C,sheaf_consistency
1,2,100,2501,0.5052525252525253,0.5057705129603933,0.5053768649486534,1.4947474747474747,50.02,5.029870773687929,61,0.7882737671287743,1.0,0.06659952105462476,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.8392375650580343,0.6864479203202977,0.6260543906706786
1,3,100,2501,0.5052525252525253,0.5057705129603933,0.5053768649486534,1.4947474747474747,50.02,5.029870773687929,61,0.7882737671287743,1.0,0.06659952105462476,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.8392375650580343,0.6864479203202977,0.6260543906706786
1,4,100,2501,0.5052525252525253,0.5057705129603933,0.5053768649486534,1.4947474747474747,50.02,5.029870773687929,61,0.7882737671287743,1.0,0.06659952105462476,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.8392375650580343,0.6864479203202977,0.6260543906706786
2,2,100,1610,0.32525252525252524,0.37147008727439307,0.37205439837430143,1.6747474747474747,32.2,4.349712634186308,41,0.9045321407681037,1.0,0.2620908398506585,2,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7989754757501746,0.6783955024587258,0.6699135900087453
2,3,100,1320,0.26666666666666666,0.31462988027674965,0.3116667636956395,1.7347474747474747,26.4,4.064480286580316,39,0.9568554834133343,0.6,0.2858066891130837,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7795724657997944,0.6745149004686497,0.6884311664212962
2,4,100,1222,0.24686868686868688,0.2828140156159808,0.28120862332371416,1.7561616161616163,24.44,4.028200590834573,36,0.9398949283053655,0.6666666666666666,0.23124194871817494,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7839722769500879,0.6753948626987084,0.6555240833297857
3,2,100,920,0.18585858585858586,0.3071172729417806,0.3024814345227314,1.9208080808080807,18.4,3.331666249791536,30,1.3603155392630888,0.5,0.3689146794596533,2,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7127601205061742,0.6611524314099257,0.7124053198908717
3,3,100,552,0.11151515151515151,0.18293522413259253,0.1779791417336297,2.224242424242424,11.04,2.477579463912308,19,1.414294664374603,0.3333333333333333,0.4107711067776243,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7035594537334324,0.6593122980553774,0.7425683649440848
3,4,100,432,0.08727272727272728,0.09908635808635809,0.09969282323373359,2.374343434343434,8.64,2.368628295026469,13,1.0211925132541522,0.3333333333333333,0.310083603774855,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6692597582841866,0.6524523589655282,0.7601703760465974
4,2,100,476,0.09616161616161616,0.26488675213675217,0.2597461468721668,2.481010101010101,9.52,2.670131082924582,16,2.269020080174969,0.2777777777777778,0.5174519252427525,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6105497131234471,0.6407103499333803,0.7484432001401744
4,3,100,204,0.041212121212121214,0.058404761904761904,0.0858257477243173,3.616969696969697,4.08,1.6773789077009402,9,1.2832427679558334,0.5,0.5094513442259059,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.513290430672473,0.6212584934431855,0.8535785784971199
4,4,100,133,0.026868686868686868,0.014365079365079365,0.017142857142857144,5.346262626262626,2.66,1.6076069171286866,9,0.4707315781723813,0.3333333333333333,0.6160090026087475,10,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.45953306581227127,0.6105070204711451,0.9073446505313478
